,location_code,fiscal_year,budget_category,budget_assignment,num_positions,service_type,amount
1,M670,2021,Per Session,PROFESSIONAL DEVELOPMENT,,,"$ 6,201"
2,M670,2021,Per Session,SPECIAL ED INSTRUCTIONAL PGMS,,,"$ 64,947"
3,M670,2021,Per Session,SUMMER STUDENT PROGRAMS,,,"$ 304,539"
0,M670,2021,OTPS,Data Processing Repair - Contractual,,,"$ 4,761"
1,M670,2021,OTPS,Educational Consultants,,,"$ 266,798"
2,M670,2021,OTPS,Educational Software,,,"$ 23,495"
3,M670,2021,OTPS,Equipment - General,,,"$ 18,709"
4,M670,2021,OTPS,Internal DOE Services,,,"$ 7,627"
5,M670,2021,OTPS,Library Books,,,"$ 3,316"
6,M670,2021,OTPS,Non-Contractual Services,,,"$ 37,289"
7,M670,2021,OTPS,Supplies - General,,,"$ 117,261"
8,M670,2021,OTPS,Telephone and Other Communications,,,"$ 3,000"
9,M670,2021,OTPS,Textbooks,,,"$ 20,908"
0,M670,2021,Sixth period coverage,Not Available,,,"$ 14,411"
0,M670,2021,People Working Partial Year,People Working Partial Year,,,"$ 104,062"
0,M670,2020,Leadership,HEAD OF SCHOOL,1.0,,"$ 166,548"
1,M670,2020,Leadership,ASST HEAD OF SCHOOL,2.0,,"$ 181,609"
0,M670,2020,Coordinator/Supervisor/Dean,PARENT COORDINATOR,1.0,,"$ 47,829"
0,M670,2020,Secretary,SCHOOL SECRETARY,2.0,,"$ 132,619"
0,M670,2020,High School Departments,ARTS,1.0,WHOLE CLASS,"$ 96,224"
1,M670,2020,High School Departments,ENGLISH LANGUAGE ARTS,1.0,REDUCED CLASS SIZE,"$ 96,224"
2,M670,2020,High School Departments,ENGLISH LANGUAGE ARTS,1.0,SUBJECT SPECIFIC,"$ 108,724"
3,M670,2020,High School Departments,ENGLISH LANGUAGE ARTS,4.0,WHOLE CLASS,"$ 388,219"
5,M670,2020,High School Departments,ESL,1.0,PUSH IN/PULL OUT,"$ 96,224"
6,M670,2020,High School Departments,HEALTH,1.0,WHOLE CLASS,"$ 96,224"
7,M670,2020,High School Departments,LANGUAGE,1.0,WHOLE CLASS,"$ 96,224"
8,M670,2020,High School Departments,LIBRARY,1.0,WHOLE CLASS,"$ 100,289"
9,M670,2020,High School Departments,MATH,1.0,ICT - Special Ed Teacher,"$ 80,289"
10,M670,2020,High School Departments,MATH,3.0,SUBJECT SPECIFIC,"$ 288,674"
11,M670,2020,High School Departments,MATH,1.0,SUPPLEMENTARY,"$ 96,224"
12,M670,2020,High School Departments,MATH,2.0,WHOLE CLASS,"$ 198,879"
14,M670,2020,High School Departments,MUSIC,1.0,SUBJECT SPECIFIC,"$ 96,224"
15,M670,2020,High School Departments,PHYSICAL EDUCATION,2.0,WHOLE CLASS,"$ 192,448"
16,M670,2020,High School Departments,SCIENCE - BIOLOGY,3.0,SUBJECT SPECIFIC,"$ 291,114"
17,M670,2020,High School Departments,SCIENCE - BIOLOGY,1.0,WHOLE CLASS,"$ 96,224"
19,M670,2020,High School Departments,SCIENCE - CHEMISTRY,1.0,SUBJECT SPECIFIC,"$ 96,224"
20,M670,2020,High School Departments,SCIENCE - GENERAL SCIENCE,1.0,SUBJECT SPECIFIC,"$ 97,389"
21,M670,2020,High School Departments,SOCIAL STUDIES,4.0,SUBJECT SPECIFIC,"$ 384,896"
22,M670,2020,High School Departments,SOCIAL STUDIES,3.0,WHOLE CLASS,"$ 254,580"
24,M670,2020,High School Departments,SPECIAL EDUCATION,7.0,ICT - Special Ed Teacher,"$ 678,794"
25,M670,2020,High School Departments,SPECIAL EDUCATION,1.0,WHOLE CLASS,"$ 29,593"
0,M670,2020,Special Needs - Support Services,SPEECH,1.0,PUSH IN/PULL OUT,"$ 96,693"
0,M670,2020,SAPIS,SUBSTANCE ABUSE PREVENTION & INTERV SPEC (H-BANK),1.0,,"$ 87,946"
0,M670,2020,Guidance/Social Workers,GUIDANCE COUNSELOR,2.0,,"$ 225,436"
0,M670,2020,Paraprofessionals,CLASSROOM - General Ed,1.0,,"$ 27,445"
1,M670,2020,Paraprofessionals,IEP-CRISIS MANAGEMENT(CIT),3.0,,"$ 114,591"
0,M670,2020,School Aides and Other Support Staff,School Aides and Other Support Staff,0.0,,"$ 154,293"
0,M670,2020,Per Diem,ABSENCE COVERAGE,,,"$ 10,001"
1,M670,2020,Per Diem,IEP-AWAITING PLACEMENT,,,"$ 82,872"
0,M670,2020,Per Session,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,,"$ 106,048"
1,M670,2020,Per Session,SUMMER STUDENT PROGRAMS,,,"$ 59,309"
0,M670,2020,OTPS,Building Permit Fees,,,$ 668
1,M670,2020,OTPS,DATA PROCESSING REPAIR - CONTRACTUAL,,,"$ 4,761"
2,M670,2020,OTPS,EDUCATIONAL CONSULTANTS,,,"$ 32,861"
3,M670,2020,OTPS,EDUCATIONAL SOFTWARE,,,"$ 19,879"
4,M670,2020,OTPS,EQUIPMENT - GENERAL,,,"$ 7,161"
5,M670,2020,OTPS,INTERNAL DOE SERVICES,,,"$ 14,792"
6,M670,2020,OTPS,LIBRARY BOOKS,,,"$ 3,364"
7,M670,2020,OTPS,NON-CONTRACTUAL SERVICES,,,"$ 47,616"
8,M670,2020,OTPS,SUPPLIES - GENERAL,,,"$ 190,848"
9,M670,2020,OTPS,TELEPHONE AND OTHER COMMUNICATIONS,,,"$ 6,201"
10,M670,2020,OTPS,TEXTBOOKS,,,"$ 41,276"
11,M670,2020,OTPS,TRANSPORTATION OF PUPILS - CONTRACTUAL,,,"$ 12,744"
12,M670,2020,OTPS,TRANSPORTATION OF STAFF - NON-CONTRACT,,,$ 700
0,M670,2020,Setasides,College Board Set Aside,,,"$ 1,700"
1,M670,2020,Setasides,ELA Math Scoring Set Aside,,,"$ 2,300"
0,M670,2020,Sixth period coverage,Not Available,,,"$ 10,269"
0,M670,2020,People Working Partial Year,People Working Partial Year,,,"$ 80,338"
0,M670,2019,Leadership,HEAD OF SCHOOL,1.0,,"$ 162,698"
1,M670,2019,Leadership,ASST HEAD OF SCHOOL,1.0,,"$ 153,196"
2,M670,2019,Leadership,INTERIM ACTING - ASST. PRINCIPAL,1.0,,"$ 8,479"
0,M670,2019,Coordinator/Supervisor/Dean,PARENT COORDINATOR,1.0,,"$ 45,022"
0,M670,2019,Secretary,SCHOOL SECRETARY,2.0,,"$ 127,661"
0,M670,2019,High School Departments,ARTS,1.0,WHOLE CLASS,"$ 92,771"
1,M670,2019,High School Departments,ENGLISH LANGUAGE ARTS,1.0,REDUCED CLASS SIZE,"$ 92,771"
2,M670,2019,High School Departments,ENGLISH LANGUAGE ARTS,6.0,WHOLE CLASS,"$ 457,367"
4,M670,2019,High School Departments,HEALTH,1.0,WHOLE CLASS,"$ 92,771"
5,M670,2019,High School Departments,LANGUAGE,1.0,WHOLE CLASS,"$ 92,771"
6,M670,2019,High School Departments,LIBRARY,1.0,WHOLE CLASS,"$ 95,819"
7,M670,2019,High School Departments,MATH,3.0,SUBJECT SPECIFIC,"$ 292,219"
8,M670,2019,High School Departments,MATH,1.0,SUPPLEMENTARY,"$ 92,771"
9,M670,2019,High School Departments,MATH,2.0,WHOLE CLASS,"$ 191,738"
11,M670,2019,High School Departments,MUSIC,1.0,WHOLE CLASS,"$ 92,771"
12,M670,2019,High School Departments,PHYSICAL EDUCATION,2.0,WHOLE CLASS,"$ 185,542"
13,M670,2019,High School Departments,SCIENCE - BIOLOGY,2.0,SUBJECT SPECIFIC,"$ 185,542"
14,M670,2019,High School Departments,SCIENCE - BIOLOGY,1.0,WHOLE CLASS,"$ 75,757"
16,M670,2019,High School Departments,SCIENCE - CHEMISTRY,1.0,WHOLE CLASS,"$ 92,771"
17,M670,2019,High School Departments,SCIENCE - GENERAL SCIENCE,1.0,SUBJECT SPECIFIC,"$ 92,885"
18,M670,2019,High School Departments,SOCIAL STUDIES,3.0,SUBJECT SPECIFIC,"$ 278,313"
19,M670,2019,High School Departments,SOCIAL STUDIES,2.0,WHOLE CLASS,"$ 185,542"
21,M670,2019,High School Departments,SPECIAL EDUCATION,9.0,ICT - Special Ed Teacher,"$ 801,491"
22,M670,2019,High School Departments,TECHNOLOGY,0.0,WHOLE CLASS,"$ 10,073"
0,M670,2019,Special Needs - Support Services,SPEECH,1.0,PUSH IN/PULL OUT,"$ 93,637"
0,M670,2019,SAPIS,SUBSTANCE ABUSE PREVENTION & INTERV SPEC (H-BANK),1.0,,"$ 83,059"
0,M670,2019,Guidance/Social Workers,GUIDANCE COUNSELOR,2.0,,"$ 247,089"
0,M670,2019,Paraprofessionals,CLASSROOM - General Ed,0.0,,"$ 6,378"
1,M670,2019,Paraprofessionals,IEP-CRISIS MANAGEMENT(CIT),2.0,,"$ 95,722"
0,M670,2019,School Aides and Other Support Staff,School Aides and Other Support Staff,0.0,,"$ 158,252"
0,M670,2019,Per Diem,ABSENCE COVERAGE,,,"$ 40,169"
1,M670,2019,Per Diem,IEP-HEALTH,,,"$ 42,266"
0,M670,2019,Per Session,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,,"$ 116,830"
1,M670,2019,Per Session,PROFESSIONAL DEVELOPMENT,,,"$ 3,636"
2,M670,2019,Per Session,PUPIL PERSONNEL SERVICES,,,"$ 2,603"
3,M670,2019,Per Session,SUMMER STUDENT PROGRAMS,,,"$ 107,731"
0,M670,2019,OTPS,Building Permit Fees,,,$ 448
1,M670,2019,OTPS,CURRICULUM & STAFF DEVELOPMENT CONTRACTS,,,"$ 32,370"
2,M670,2019,OTPS,DATA PROCESSING REPAIR - CONTRACTUAL,,,"$ 4,213"
3,M670,2019,OTPS,EDUCATIONAL CONSULTANTS,,,"$ 40,000"
4,M670,2019,OTPS,EDUCATIONAL SOFTWARE,,,"$ 8,026"
5,M670,2019,OTPS,EQUIPMENT - GENERAL,,,"$ 18,765"
6,M670,2019,OTPS,LIBRARY BOOKS,,,"$ 3,314"
7,M670,2019,OTPS,NON-CONTRACTUAL SERVICES,,,"$ 35,466"
8,M670,2019,OTPS,SUPPLIES - GENERAL,,,"$ 129,759"
9,M670,2019,OTPS,TELEPHONE AND OTHER COMMUNICATIONS,,,"$ 2,164"
10,M670,2019,OTPS,TEXTBOOKS,,,"$ 26,303"
11,M670,2019,OTPS,TRANSPORTATION OF PUPILS - CONTRACTUAL,,,"$ 19,416"
12,M670,2019,OTPS,TRANSPORTATION OF STAFF - NON-CONTRACT,,,"$ 1,000"
0,M670,2019,Sixth period coverage,Not Available,,,"$ 12,482"
0,M670,2019,People Working Partial Year,People Working Partial Year,,,"$ 234,140"
0,M670,2019,Setasides,CB GE All Other Salaries Set Aside,,,"$ 12,685"
1,M670,2019,Setasides,CB GE Classroom Teachers Set Aside,,,"$ 31,868"
2,M670,2019,Setasides,CB GE Pupil Support Services Set Aside,,,"$ 1,603"
3,M670,2019,Setasides,CB SE Classroom Teachers Set Aside,,,"$ 1,909"
4,M670,2019,Setasides,CB SE Pupil Support Services Set Aside,,,"$ 10,671"
0,M670,2018,Leadership,HEAD OF SCHOOL,1.0,,"$ 11,941"
1,M670,2018,Leadership,ASST HEAD OF SCHOOL,1.0,,"$ 145,001"
2,M670,2018,Leadership,AP - ORGANIZATION,1.0,,"$ 113,421"
0,M670,2018,Coordinator/Supervisor/Dean,PARENT COORDINATOR,1.0,,"$ 42,633"
0,M670,2018,Secretary,SCHOOL SECRETARY,2.0,,"$ 119,754"
0,M670,2018,High School Departments,ARTS,1.0,WHOLE CLASS,"$ 87,097"
1,M670,2018,High School Departments,ENGLISH LANGUAGE ARTS,1.0,REDUCED CLASS SIZE,"$ 87,097"
2,M670,2018,High School Departments,ENGLISH LANGUAGE ARTS,6.0,WHOLE CLASS,"$ 520,576"
4,M670,2018,High School Departments,HEALTH,1.0,WHOLE CLASS,"$ 87,097"
5,M670,2018,High School Departments,LANGUAGE,1.0,WHOLE CLASS,"$ 87,097"
6,M670,2018,High School Departments,LIBRARY,1.0,WHOLE CLASS,"$ 90,781"
7,M670,2018,High School Departments,MATH,2.0,SUBJECT SPECIFIC,"$ 174,194"
8,M670,2018,High School Departments,MATH,1.0,SUPPLEMENTARY,"$ 87,097"
9,M670,2018,High School Departments,MATH,3.0,WHOLE CLASS,"$ 266,941"
11,M670,2018,High School Departments,MUSIC,1.0,WHOLE CLASS,"$ 87,097"
12,M670,2018,High School Departments,PHYSICAL EDUCATION,2.0,WHOLE CLASS,"$ 174,194"
13,M670,2018,High School Departments,SCIENCE - BIOLOGY,1.0,SUBJECT SPECIFIC,"$ 87,097"
14,M670,2018,High School Departments,SCIENCE - BIOLOGY,1.0,WHOLE CLASS,"$ 87,097"
16,M670,2018,High School Departments,SCIENCE - CHEMISTRY,1.0,WHOLE CLASS,"$ 87,097"
17,M670,2018,High School Departments,SCIENCE - GENERAL SCIENCE,1.0,SUBJECT SPECIFIC,"$ 90,714"
18,M670,2018,High School Departments,SCIENCE - GENERAL SCIENCE,2.0,WHOLE CLASS,"$ 174,194"
20,M670,2018,High School Departments,SOCIAL STUDIES,3.0,SUBJECT SPECIFIC,"$ 217,891"
21,M670,2018,High School Departments,SOCIAL STUDIES,2.0,WHOLE CLASS,"$ 174,194"
23,M670,2018,High School Departments,SPECIAL EDUCATION,7.0,ICT - Special Ed Teacher,"$ 560,976"
0,M670,2018,Special Needs - Support Services,SPEECH,1.0,PUSH IN/PULL OUT,"$ 90,166"
0,M670,2018,SAPIS,SUBSTANCE ABUSE PREVENTION & INTERV SPEC (H-BANK),1.0,,"$ 82,483"
0,M670,2018,Guidance/Social Workers,GUIDANCE COUNSELOR,2.0,,"$ 241,728"
0,M670,2018,Paraprofessionals,IEP-CRISIS MANAGEMENT(CIT),3.0,,"$ 83,906"
0,M670,2018,School Aides and Other Support Staff,School Aides and Other Support Staff,0.0,,"$ 178,957"
0,M670,2018,Per Diem,ABSENCE COVERAGE,,,"$ 19,724"
1,M670,2018,Per Diem,IEP-HEALTH,,,"$ 36,860"
0,M670,2018,Per Session,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,,"$ 125,272"
1,M670,2018,Per Session,PROFESSIONAL DEVELOPMENT,,,"$ 1,700"
2,M670,2018,Per Session,PUPIL PERSONNEL SERVICES,,,"$ 3,900"
3,M670,2018,Per Session,SUMMER STUDENT PROGRAMS,,,"$ 82,863"
0,M670,2018,OTPS,Building Permit Fees,,,$ 880
1,M670,2018,OTPS,DATA PROCESSING REPAIR - CONTRACTUAL,,,"$ 4,036"
2,M670,2018,OTPS,EDUCATIONAL CONSULTANTS,,,"$ 29,500"
3,M670,2018,OTPS,EDUCATIONAL SOFTWARE,,,"$ 13,500"
4,M670,2018,OTPS,EQUIPMENT - GENERAL,,,"$ 9,711"
5,M670,2018,OTPS,INTERNAL DOE SERVICES,,,"$ 11,875"
6,M670,2018,OTPS,LIBRARY BOOKS,,,"$ 3,370"
7,M670,2018,OTPS,NON-CONTRACTUAL SERVICES,,,"$ 31,053"
8,M670,2018,OTPS,OFFICE TEMP SERVICES - CONTRACTUAL,,,$ 480
9,M670,2018,OTPS,SUPPLIES - GENERAL,,,"$ 104,919"
10,M670,2018,OTPS,TELECOMMUNICATION CONTRACTS,,,$ 864
11,M670,2018,OTPS,TELEPHONE AND OTHER COMMUNICATIONS,,,"$ 3,101"
12,M670,2018,OTPS,TEXTBOOKS,,,"$ 30,380"
13,M670,2018,OTPS,TRANSPORTATION OF PUPILS - CONTRACTUAL,,,$ 852
14,M670,2018,OTPS,TRANSPORTATION OF STAFF - NON-CONTRACT,,,"$ 5,000"
0,M670,2018,Sixth period coverage,Not Available,,,"$ 16,399"
0,M670,2018,People Working Partial Year,People Working Partial Year,,,"$ 195,989"
0,M517,2022,Leadership,HEAD OF SCHOOL,1.0,,"$ 179,865"
1,M517,2022,Leadership,INTERIM ACTING - ASST. PRINCIPAL,1.0,,"$ 85,842"
0,M517,2022,Coordinator/Supervisor/Dean,PARENT COORDINATOR,1.0,,"$ 38,235"
0,M517,2022,Secretary,School Secretary,1.0,,"$ 54,648"
0,M517,2022,Classroom Teacher,Pre K,2.0,WHOLE CLASS,"$ 245,855"
1,M517,2022,Classroom Teacher,K,2.0,WHOLE CLASS,"$ 173,198"
2,M517,2022,Classroom Teacher,1,2.0,WHOLE CLASS,"$ 163,213"
3,M517,2022,Classroom Teacher,2,2.0,WHOLE CLASS,"$ 173,198"
4,M517,2022,Classroom Teacher,3,1.0,ICT - Special Ed Teacher,"$ 76,614"
5,M517,2022,Classroom Teacher,3,1.0,WHOLE CLASS,"$ 86,599"
7,M517,2022,Classroom Teacher,4,1.0,ICT - General Ed Teacher,"$ 86,599"
8,M517,2022,Classroom Teacher,4,2.0,WHOLE CLASS,"$ 138,567"
10,M517,2022,Classroom Teacher,5,2.0,WHOLE CLASS,"$ 173,198"
11,M517,2022,Classroom Teacher,6,2.0,ICT - Special Ed Teacher,"$ 80,728"
0,M517,2022,Homeroom Teacher,ENGLISH LANGUAGE ARTS,1.0,ICT - General Ed Teacher,"$ 86,599"
1,M517,2022,Homeroom Teacher,MATH,1.0,ICT - General Ed Teacher,"$ 86,599"
2,M517,2022,Homeroom Teacher,MATH,2.0,WHOLE CLASS,"$ 99,520"
4,M517,2022,Homeroom Teacher,SCIENCE - GENERAL SCIENCE,1.0,WHOLE CLASS,"$ 86,599"
5,M517,2022,Homeroom Teacher,SOCIAL STUDIES,1.0,ICT - General Ed Teacher,"$ 86,599"
6,M517,2022,Homeroom Teacher,SPECIAL EDUCATION (OR ALL SUBJECTS),1.0,ICT - Special Ed Teacher,"$ 93,156"
7,M517,2022,Homeroom Teacher,SPECIAL EDUCATION (OR ALL SUBJECTS),1.0,WHOLE CLASS,"$ 86,926"
0,M517,2022,Elementary Cluster/Quota,LIBRARY,1.0,WHOLE CLASS,"$ 86,599"
1,M517,2022,Elementary Cluster/Quota,READING/LITERACY,1.0,WHOLE CLASS,"$ 86,599"
0,M517,2022,Cluster/Quota Teacher,DANCE ALL OTHER,1.0,WHOLE CLASS,"$ 87,616"
0,M517,2022,Special Needs - Support Services,OCCUPATIONAL THERAPY,1.0,PUSH IN-All Students,"$ 47,563"
1,M517,2022,Special Needs - Support Services,SPEECH,1.0,PUSH IN-All Students,"$ 103,083"
0,M517,2022,Guidance/Social Workers,Guidance Counselor,1.0,,"$ 80,927"
0,M517,2022,Paraprofessionals,CLASSROOM - General Ed,1.0,,"$ 66,593"
1,M517,2022,Paraprofessionals,IEP-CRISIS MANAGEMENT(CIT),5.0,,"$ 199,083"
2,M517,2022,Paraprofessionals,PRE-K,1.0,,"$ 66,593"
0,M517,2022,School Aides and Other Support Staff,School Aides and Other Support Staff,0.0,,"$ 105,704"
0,M517,2022,Professional/Curriculum Development,LITERACY COACH,1.0,,"$ 97,245"
0,M517,2022,Per Diem,ABSENCE COVERAGE,,,"$ 64,253"
1,M517,2022,Per Diem,IEP-CRISIS MANAGEMENT(CIT),,,"$ 56,292"
0,M517,2022,Per Session,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,,"$ 283,076"
1,M517,2022,Per Session,PARENT INVOLVEMENT,,,"$ 2,341"
2,M517,2022,Per Session,SUMMER STUDENT PROGRAMS,,,"$ 22,716"
0,M517,2022,OTPS,Data Processing Repair - Contractual,,,"$ 6,562"
1,M517,2022,OTPS,Educational Consultants,,,"$ 15,750"
2,M517,2022,OTPS,Educational Software,,,"$ 43,066"
3,M517,2022,OTPS,Equipment - General,,,"$ 21,860"
4,M517,2022,OTPS,Library Books,,,"$ 2,160"
5,M517,2022,OTPS,Non-Contractual Services,,,"$ 19,655"
6,M517,2022,OTPS,Office Temp Services - Contractual,,,$ 225
7,M517,2022,OTPS,Supplies - General,,,"$ 97,467"
8,M517,2022,OTPS,Telephone and Other Communications,,,"$ 1,373"
9,M517,2022,OTPS,Textbooks,,,"$ 15,163"
0,M517,2022,People Working Partial Year,People Working Partial Year,,,"$ 318,363"
0,M517,2021,Leadership,HEAD OF SCHOOL,1.0,,"$ 166,528"
1,M517,2021,Leadership,ASST HEAD OF SCHOOL,1.0,,"$ 126,130"
0,M517,2021,Coordinator/Supervisor/Dean,PARENT COORDINATOR,1.0,,"$ 10,580"
0,M517,2021,Secretary,School Secretary,1.0,,"$ 48,033"
0,M517,2021,Classroom Teacher,Pre K,2.0,WHOLE CLASS,"$ 241,034"
1,M517,2021,Classroom Teacher,K,2.0,WHOLE CLASS,"$ 170,282"
2,M517,2021,Classroom Teacher,1,2.0,WHOLE CLASS,"$ 170,282"
3,M517,2021,Classroom Teacher,2,2.0,WHOLE CLASS,"$ 135,766"
4,M517,2021,Classroom Teacher,3,2.0,WHOLE CLASS,"$ 170,282"
5,M517,2021,Classroom Teacher,4,1.0,ICT - General Ed Teacher,"$ 85,141"
6,M517,2021,Classroom Teacher,4,1.0,WHOLE CLASS,"$ 85,141"
8,M517,2021,Classroom Teacher,5,1.0,ICT - General Ed Teacher,"$ 85,141"
9,M517,2021,Classroom Teacher,5,1.0,ICT - Special Ed Teacher,"$ 85,141"
10,M517,2021,Classroom Teacher,5,1.0,WHOLE CLASS,"$ 75,428"
12,M517,2021,Classroom Teacher,6,1.0,ICT - Special Ed Teacher,"$ 85,141"
0,M517,2021,Homeroom Teacher,ENGLISH LANGUAGE ARTS,1.0,ICT - General Ed Teacher,"$ 85,141"
1,M517,2021,Homeroom Teacher,ENGLISH LANGUAGE ARTS,1.0,ICT - Special Ed Teacher,"$ 64,705"
2,M517,2021,Homeroom Teacher,ENGLISH LANGUAGE ARTS,1.0,WHOLE CLASS,"$ 85,141"
4,M517,2021,Homeroom Teacher,MATH,1.0,ICT - General Ed Teacher,"$ 85,141"
5,M517,2021,Homeroom Teacher,MATH,1.0,WHOLE CLASS,"$ 85,141"
7,M517,2021,Homeroom Teacher,SCIENCE - GENERAL SCIENCE,1.0,WHOLE CLASS,"$ 85,141"
8,M517,2021,Homeroom Teacher,SOCIAL STUDIES,1.0,ICT - General Ed Teacher,"$ 85,141"
9,M517,2021,Homeroom Teacher,SPECIAL EDUCATION (OR ALL SUBJECTS),1.0,ICT - Special Ed Teacher,"$ 85,141"
10,M517,2021,Homeroom Teacher,SPECIAL EDUCATION (OR ALL SUBJECTS),2.0,WHOLE CLASS,"$ 114,251"
0,M517,2021,Elementary Cluster/Quota,LIBRARY,1.0,WHOLE CLASS,"$ 85,141"
1,M517,2021,Elementary Cluster/Quota,PHYSICAL EDUCATION,1.0,WHOLE CLASS,"$ 31,230"
2,M517,2021,Elementary Cluster/Quota,READING/LITERACY,1.0,WHOLE CLASS,"$ 85,141"
0,M517,2021,Special Needs - Support Services,ESL,0.2,PUSH IN/PULL OUT,"$ 17,028"
1,M517,2021,Special Needs - Support Services,OCCUPATIONAL THERAPY,1.0,PUSH IN/PULL OUT,"$ 78,516"
2,M517,2021,Special Needs - Support Services,SPEECH,1.0,PUSH IN-All Students,"$ 99,109"
0,M517,2021,Guidance/Social Workers,School Social Worker,1.0,,"$ 110,412"
0,M517,2021,Paraprofessionals,IEP-CRISIS MANAGEMENT(CIT),4.0,,"$ 156,214"
1,M517,2021,Paraprofessionals,PRE-K,1.0,,"$ 63,666"
0,M517,2021,School Aides and Other Support Staff,School Aides and Other Support Staff,0.0,,"$ 125,292"
0,M517,2021,Per Diem,ABSENCE COVERAGE,,,"$ 48,821"
1,M517,2021,Per Diem,IEP-CRISIS MANAGEMENT(CIT),,,"$ 69,432"
0,M517,2021,Per Session,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,,"$ 56,579"
1,M517,2021,Per Session,SUMMER STUDENT PROGRAMS,,,"$ 1,983"
0,M517,2021,OTPS,Data Processing Repair - Contractual,,,"$ 4,647"
1,M517,2021,OTPS,Educational Software,,,"$ 33,887"
2,M517,2021,OTPS,Equipment - General,,,"$ 59,847"
3,M517,2021,OTPS,Library Books,,,"$ 2,124"
4,M517,2021,OTPS,Non-Contractual Services,,,"$ 5,443"
5,M517,2021,OTPS,Office Temp Services - Contractual,,,$ 853
6,M517,2021,OTPS,Supplies - General,,,"$ 55,440"
7,M517,2021,OTPS,Textbooks,,,$ 328
0,M517,2021,Sixth period coverage,Not Available,,,"$ 3,565"
0,M517,2021,People Working Partial Year,People Working Partial Year,,,"$ 89,470"
0,M517,2020,Leadership,HEAD OF SCHOOL,1.0,,"$ 155,089"
1,M517,2020,Leadership,ASST HEAD OF SCHOOL,1.0,,"$ 120,641"
0,M517,2020,Coordinator/Supervisor/Dean,PARENT COORDINATOR,1.0,,"$ 26,274"
0,M517,2020,Secretary,SCHOOL SECRETARY,1.0,,"$ 40,486"
0,M517,2020,Classroom Teacher,Pre K,2.0,WHOLE CLASS,"$ 227,626"
1,M517,2020,Classroom Teacher,K,2.0,WHOLE CLASS,"$ 160,912"
2,M517,2020,Classroom Teacher,1,1.0,WHOLE CLASS,"$ 80,456"
3,M517,2020,Classroom Teacher,2,2.0,WHOLE CLASS,"$ 160,912"
4,M517,2020,Classroom Teacher,3,2.0,WHOLE CLASS,"$ 160,912"
5,M517,2020,Classroom Teacher,4,1.0,ICT - General Ed Teacher,"$ 80,456"
6,M517,2020,Classroom Teacher,4,1.0,ICT - Special Ed Teacher,"$ 80,456"
7,M517,2020,Classroom Teacher,4,1.0,WHOLE CLASS,"$ 80,456"
9,M517,2020,Classroom Teacher,5,1.0,ICT - General Ed Teacher,"$ 80,456"
10,M517,2020,Classroom Teacher,5,1.0,ICT - Special Ed Teacher,"$ 33,832"
11,M517,2020,Classroom Teacher,5,1.0,WHOLE CLASS,"$ 87,956"
0,M517,2020,Homeroom Teacher,ENGLISH LANGUAGE ARTS,1.0,ICT - General Ed Teacher,"$ 80,456"
1,M517,2020,Homeroom Teacher,ENGLISH LANGUAGE ARTS,1.0,ICT - Special Ed Teacher,"$ 80,456"
2,M517,2020,Homeroom Teacher,ENGLISH LANGUAGE ARTS,1.0,WHOLE CLASS,"$ 80,456"
4,M517,2020,Homeroom Teacher,MATH,1.0,ICT - General Ed Teacher,"$ 87,956"
5,M517,2020,Homeroom Teacher,MATH,1.0,ICT - Special Ed Teacher,"$ 19,181"
6,M517,2020,Homeroom Teacher,MATH,1.0,WHOLE CLASS,"$ 80,456"
8,M517,2020,Homeroom Teacher,SCIENCE - GENERAL SCIENCE,1.0,WHOLE CLASS,"$ 80,456"
9,M517,2020,Homeroom Teacher,SOCIAL STUDIES,1.0,ICT - General Ed Teacher,"$ 80,456"
10,M517,2020,Homeroom Teacher,SPECIAL EDUCATION (OR ALL SUBJECTS),1.0,ICT - Special Ed Teacher,"$ 80,456"
0,M517,2020,Elementary Cluster/Quota,DRAMA/THEATER,1.0,WHOLE CLASS,"$ 87,127"
1,M517,2020,Elementary Cluster/Quota,LIBRARY,1.0,WHOLE CLASS,"$ 80,456"
2,M517,2020,Elementary Cluster/Quota,READING/LITERACY,1.0,WHOLE CLASS,"$ 80,456"
0,M517,2020,Cluster/Quota Teacher,FL - SPANISH,1.0,WHOLE CLASS,"$ 19,181"
1,M517,2020,Cluster/Quota Teacher,PHYSICAL EDUCATION,1.0,WHOLE CLASS,"$ 87,127"
0,M517,2020,Special Needs - Support Services,ESL,0.2,PUSH IN/PULL OUT,"$ 16,091"
1,M517,2020,Special Needs - Support Services,OCCUPATIONAL THERAPY,1.0,PUSH IN/PULL OUT,"$ 77,181"
2,M517,2020,Special Needs - Support Services,SETSS,1.0,PUSH IN/PULL OUT,"$ 80,456"
3,M517,2020,Special Needs - Support Services,SPEECH,1.0,PUSH IN-All Students,"$ 96,693"
0,M517,2020,Guidance/Social Workers,SCHOOL SOCIAL WORKER,1.0,,"$ 95,553"
0,M517,2020,Paraprofessionals,IEP-CRISIS MANAGEMENT(CIT),2.0,,"$ 177,056"
1,M517,2020,Paraprofessionals,PRE-K,2.0,,"$ 123,392"
